deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA794810,Morel,Louise,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Bas-Rhin,6,2024-07-07,2026-02-27,5799,2438,0,3361,0.4204,797,1531,110,118,28,0.2373,770,0,0,,,
PA794830,Ott,Hubert,DEM,Les Démocrates,Ensemble ! (majorité présidentielle),Haut-Rhin,2,2024-07-07,2026-02-27,5799,1266,0,4533,0.2183,472,711,83,125,22,0.1760,833,0,0,,,
PA794838,Lemaire,Didier,HOR,Horizons & Indépendants,Horizons,Haut-Rhin,3,2024-07-07,2026-02-27,5799,794,0,5005,0.1369,271,493,30,9,8,0.8889,670,0,0,,,
PA794854,Echaniz,Inaki,SOC,Socialistes et apparentés,Parti socialiste,Pyrénées-Atlantiques,4,2024-07-07,2026-02-27,5799,2483,0,3316,0.4282,1263,1060,160,355,78,0.2197,4521,0,0,,,
PA794870,Ferrer,Sylvie,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Hautes-Pyrénées,1,2024-07-07,2026-02-27,5799,2097,0,3702,0.3616,1055,947,95,170,2,0.0118,14042,0,0,,,
PA794886,Blanc,Sophie,RN,Rassemblement National,Rassemblement national,Pyrénées-Orientales,1,2024-07-07,2026-02-27,5799,1536,0,4263,0.2649,747,678,111,17,0,0.0000,4185,0,0,,,
PA794894,Sabatini,Anaïs,RN,Rassemblement National,Rassemblement national,Pyrénées-Orientales,2,2024-06-30,2026-02-27,5799,3454,0,2345,0.5956,1792,1391,271,9,1,0.1111,3762,0,0,,,
PA794906,Amard,Gabriel,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Rhône,6,2024-07-07,2026-02-27,5799,1866,0,3933,0.3218,809,957,100,97,6,0.0619,14140,0,0,,,
PA794938,Boumertit,Idir,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Rhône,14,2024-07-07,2026-02-27,5799,1830,0,3969,0.3156,829,880,121,95,26,0.2737,14161,0,0,,,
PA794946,Villedieu,Antoine,RN,Rassemblement National,Rassemblement national,Haute-Saône,1,2024-07-07,2026-02-27,5799,2994,0,2805,0.5163,1469,1288,237,69,2,0.0290,4219,0,0,,,
PA794954,Salmon,Emeric,RN,Rassemblement National,Rassemblement national,Haute-Saône,2,2024-06-30,2026-02-27,5799,4524,0,1275,0.7801,2399,1776,349,43,5,0.1163,4071,0,0,,,
PA794982,Delpech,Julie,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Sarthe,1,2024-07-07,2026-02-27,5799,1095,0,4704,0.1888,391,688,16,103,24,0.2330,789,0,0,,,
PA794994,Portier,Alexandre,DR,Droite Républicaine,Les Républicains,Rhône,9,2024-07-07,2026-02-27,5799,752,5,5042,0.1297,285,441,26,167,8,0.0479,1454,0,0,,,
