deputy_id,nom,prenom,groupe_abrev,groupe_nom,parti_rattachement,dept,circo,period_start,period_end,scrutins_eligibles,votes_exprimes,non_votant,absent,participation_rate,pour_count,contre_count,abst_count,amd_authored,amd_adopted,amd_adoption_rate,amd_cosigned,interventions_count,interventions_chars,top_dossier_id,top_dossier_titre,top_dossier_score
PA842147,Mongardien,Christophe,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Hauts-de-Seine,13,2026-01-28,2026-02-27,577,441,0,136,0.7643,108,331,2,6,1,0.1667,52,0,0,,,
PA842155,Diouara,Aly,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Seine-Saint-Denis,5,2026-01-28,2026-02-27,577,4,0,573,0.0069,2,1,1,0,0,,499,0,0,,,
PA842183,Blanchard,Benoît,HOR,Horizons & Indépendants,Horizons,Val-d'Oise,4,2026-01-28,2026-02-27,577,346,0,231,0.5997,187,147,12,0,0,,41,0,0,,,
PA842187,Cathala,Gabrielle,LFI-NFP,La France insoumise - Nouveau Front Populaire,La France Insoumise,Val-d'Oise,6,2026-01-28,2026-02-27,577,160,0,417,0.2773,54,103,3,1,0,0.0000,498,0,0,,,
PA842195,Eskenazi,Romain,SOC,Socialistes et apparentés,Parti socialiste,Val-d'Oise,7,2026-01-28,2026-02-27,577,84,0,493,0.1456,20,59,5,0,0,,143,0,0,,,
PA842211,Bellay,Béatrice,SOC,Socialistes et apparentés,Parti socialiste,Martinique,3,2026-01-28,2026-02-27,577,3,0,574,0.0052,2,0,1,8,0,0.0000,163,0,0,,,
PA842227,Rivière,Joseph,RN,Rassemblement National,Rassemblement national,Réunion,3,2026-01-28,2026-02-27,577,144,0,433,0.2496,104,29,11,8,0,0.0000,509,0,0,,,
PA842255,Sicard,Anne,RN,Rassemblement National,Rassemblement national,Val-d'Oise,1,2026-01-28,2026-02-27,577,316,0,261,0.5477,239,64,13,1,0,0.0000,517,0,0,,,
PA842263,Hadizadeh,Ayda,SOC,Socialistes et apparentés,Parti socialiste,Val-d'Oise,2,2026-01-28,2026-02-27,577,217,0,360,0.3761,46,168,3,0,0,,136,0,0,,,
PA842271,Maurel,Emmanuel,GDR,Gauche Démocrate et Républicaine,Parti communiste français,Val-d'Oise,3,2026-01-28,2026-02-27,577,77,0,500,0.1334,48,22,7,19,6,0.3158,118,0,0,,,
PA842279,Bamana,Anchya,RN,Rassemblement National,Rassemblement national,Mayotte,2,2026-01-28,2026-02-27,577,166,0,411,0.2877,131,32,3,0,0,,769,0,0,,,
PA842299,Tjibaou,Emmanuel,GDR,Gauche Démocrate et Républicaine,Non rattaché(s),Nouvelle-Calédonie,2,2026-01-28,2026-02-27,577,56,0,521,0.0971,17,33,6,0,0,,149,0,0,,,
PA842311,Caure,Vincent,EPR,Ensemble pour la République,Ensemble ! (majorité présidentielle),Français établis hors de France,3,2026-01-28,2026-02-27,577,71,0,506,0.1231,30,40,1,14,7,0.5000,60,0,0,,,
PA870009,Duparay,Lionel,DR,Droite Républicaine,Les Républicains,Saône-et-Loire,5,2026-01-28,2026-02-27,577,335,0,242,0.5806,211,103,21,2,0,0.0000,632,0,0,,,
PA878242,Valentin,Antoine,UDDPLR,Union des droites pour la République,,Haute-Savoie,3,2026-02-01,2026-02-27,516,62,0,454,0.1202,46,10,6,8,0,0.0000,322,0,0,,,
PA942,de Courson,Charles,LIOT,"Libertés, Indépendants, Outre-mer et Territoires","Union des démocrates européens, centristes et indépendants",Marne,5,2026-01-28,2026-02-27,577,33,0,544,0.0572,13,20,0,7,0,0.0000,74,0,0,,,
